timestamps,TP9,AF7,AF8,TP10,Right AUX
1584600330.563,26.855,28.320,24.902,51.758,22.461
1584600330.567,9.766,27.344,21.484,-42.969,-28.320
1584600330.571,3.906,37.109,25.879,-16.602,-30.762
1584600330.575,22.461,40.039,24.414,75.684,-11.719
1584600330.579,28.320,40.527,18.555,63.965,-16.113
1584600330.583,9.766,32.715,17.090,-22.949,-21.973
1584600330.587,7.324,30.273,19.531,-34.180,16.602
1584600330.591,36.133,45.898,26.855,56.152,-12.207
1584600330.595,38.574,49.805,28.809,91.309,-20.020
1584600330.599,18.066,38.086,22.461,1.465,0.488
1584600330.602,10.742,31.250,23.926,-45.898,30.273
1584600330.606,25.879,37.109,29.297,36.621,46.387
1584600330.610,38.574,44.434,27.344,95.215,32.715
1584600330.614,35.645,35.645,31.738,45.898,2.930
1584600330.618,14.648,24.902,35.645,-20.996,23.926
1584600330.622,10.742,25.391,31.250,17.090,55.176
1584600330.626,28.320,29.297,27.344,97.168,2.441
1584600330.630,20.508,33.691,24.414,60.059,28.320
1584600330.634,1.953,34.668,25.391,-37.109,33.203
1584600330.638,8.301,36.621,25.391,-21.973,14.648
1584600330.642,28.320,34.668,28.809,72.754,-20.020
1584600330.645,29.785,28.320,30.762,76.660,-24.902
1584600330.649,10.254,23.438,27.344,-15.625,24.414
1584600330.653,20.020,24.902,31.738,-33.691,31.250
1584600330.657,37.109,31.738,38.086,63.477,46.875
1584600330.661,27.832,28.809,36.621,100.586,65.430
1584600330.665,17.090,25.879,34.180,22.949,64.453
1584600330.669,9.766,21.973,30.273,-31.738,52.734
1584600330.673,28.320,26.367,32.715,39.062,60.059
1584600330.677,37.598,35.645,30.762,109.863,86.914
1584600330.681,6.836,31.250,22.949,48.828,47.363
1584600330.685,-10.742,20.508,18.066,-33.203,38.574
1584600330.688,9.277,12.207,16.113,0.000,70.312
1584600330.692,36.133,28.320,25.879,84.473,49.805
1584600330.696,39.062,41.016,33.691,62.988,13.672
1584600330.700,13.672,30.762,29.297,-35.645,-36.621
1584600330.704,3.906,16.602,26.855,-30.273,-43.457
1584600330.708,31.738,21.973,28.320,67.871,41.016
1584600330.712,30.762,30.762,18.555,69.336,39.551
1584600330.716,17.578,28.809,7.324,-22.461,-5.371
1584600330.720,55.176,29.297,19.531,-26.367,30.273
1584600330.724,59.082,29.785,40.039,58.105,56.641
1584600330.727,18.555,26.855,39.551,83.496,19.531
1584600330.731,-5.859,16.113,32.715,-5.371,14.160
1584600330.735,-14.160,8.789,32.715,-73.730,30.762
1584600330.739,3.906,14.648,39.062,3.418,53.711
1584600330.743,4.883,12.695,43.945,79.590,41.016
1584600330.747,-18.066,6.836,49.316,30.273,-6.348
1584600330.751,-21.484,9.766,55.664,-37.598,19.043
1584600330.755,-12.207,9.277,62.500,-0.488,-6.836
1584600330.759,-16.113,-0.488,62.500,77.148,23.438
1584600330.763,-39.551,-12.207,55.664,47.852,81.055
1584600330.767,-53.223,-18.555,53.223,-37.109,10.254
1584600330.770,-48.828,-20.996,52.734,-39.062,-17.578
1584600330.774,-29.297,-15.625,55.664,47.852,26.855
1584600330.778,-34.668,-17.090,51.758,66.406,50.293
1584600330.782,-60.059,-20.996,50.293,-18.555,36.621
1584600330.786,-48.340,-20.020,58.105,-47.363,22.461
1584600330.790,-27.344,-12.207,60.547,20.996,19.043
1584600330.794,-25.391,-5.859,66.406,78.125,24.414
1584600330.798,-30.762,-15.625,68.848,31.250,5.859
1584600330.802,-48.828,-25.879,66.406,-34.668,1.953
1584600330.806,-42.969,-21.484,65.430,7.812,-8.301
1584600330.810,-24.414,-15.625,63.965,80.078,0.488
1584600330.813,-28.320,-16.602,60.059,50.293,62.988
1584600330.817,-36.133,-19.043,54.199,-26.855,21.484
1584600330.821,-23.438,-14.160,60.547,-9.277,13.184
