timestamps,TP9,AF7,AF8,TP10,Right AUX
1584600273.892,27.832,22.461,23.438,-8.789,68.848
1584600273.895,7.812,20.996,22.949,-116.699,40.527
1584600273.899,36.621,27.344,26.855,35.645,0.977
1584600273.903,57.129,30.273,27.344,168.457,41.992
1584600273.907,24.414,24.902,24.902,49.316,46.387
1584600273.911,-10.742,21.484,22.461,-111.328,20.508
1584600273.915,18.555,29.297,25.391,-23.926,26.855
1584600273.919,57.129,34.180,30.762,161.621,44.434
1584600273.923,41.016,29.297,30.273,104.980,41.504
1584600273.927,-1.953,22.949,26.855,-94.727,20.020
1584600273.931,8.301,24.414,30.762,-64.941,88.379
1584600273.935,49.316,29.785,36.133,139.648,104.492
1584600273.938,47.852,26.367,35.156,154.785,20.508
1584600273.942,7.324,18.555,31.738,-42.969,-28.320
1584600273.946,1.953,19.043,30.762,-101.074,12.695
1584600273.950,45.410,25.879,35.156,86.914,27.344
1584600273.954,53.223,24.414,39.551,181.641,-10.254
1584600273.958,18.555,18.066,38.086,26.855,18.555
1584600273.962,2.930,15.137,34.180,-103.516,37.598
1584600273.966,32.227,27.832,31.738,31.250,25.879
1584600273.970,44.922,35.645,31.738,169.922,48.340
1584600273.974,11.230,29.297,30.273,51.270,73.242
1584600273.977,-26.855,23.438,27.344,-123.535,39.551
1584600273.981,-0.488,27.832,30.762,-41.504,-10.742
1584600273.985,49.805,34.180,32.227,150.391,-3.418
1584600273.989,35.156,31.738,29.297,112.305,-1.465
1584600273.993,-19.531,25.879,23.438,-86.914,7.324
1584600273.997,-8.301,26.855,24.902,-94.727,41.504
1584600274.001,39.551,36.621,31.250,108.887,82.520
1584600274.005,39.551,38.574,29.297,154.785,38.574
1584600274.009,-9.766,25.879,24.414,-35.645,40.039
1584600274.013,-26.367,24.414,21.484,-122.070,125.488
1584600274.017,26.367,37.598,26.855,58.594,70.312
1584600274.020,54.688,42.480,31.250,172.363,41.504
1584600274.024,21.484,30.762,27.832,18.555,35.156
1584600274.028,-1.465,25.879,26.367,-119.141,-11.719
1584600274.032,34.668,38.574,29.297,9.277,29.297
1584600274.036,54.199,37.598,34.668,169.922,64.941
1584600274.040,19.531,25.879,30.762,81.543,-4.395
1584600274.044,-9.766,27.344,24.902,-102.539,-14.160
1584600274.048,18.555,34.668,28.320,-45.410,26.855
1584600274.052,61.035,34.668,31.250,148.438,20.508
1584600274.056,52.246,29.297,28.320,125.977,-17.578
1584600274.060,18.066,27.832,21.973,-74.219,-26.855
1584600274.063,17.090,35.645,23.438,-83.984,41.504
1584600274.067,44.922,41.016,29.785,115.234,52.246
1584600274.071,40.039,41.016,28.809,155.273,14.648
1584600274.075,-9.766,31.250,23.926,-25.879,23.926
1584600274.079,-16.602,27.832,26.855,-114.258,32.715
1584600274.083,34.668,38.574,32.227,53.711,16.113
1584600274.087,51.758,39.551,33.203,173.828,-10.742
1584600274.091,12.207,27.344,29.785,33.691,10.254
1584600274.095,-10.254,26.855,26.855,-116.211,59.570
1584600274.099,27.344,33.203,30.273,-2.441,-4.395
1584600274.102,56.641,32.715,35.156,170.410,-44.922
1584600274.106,29.785,30.762,32.227,96.680,-26.855
1584600274.110,-2.441,25.879,27.832,-97.656,23.438
1584600274.114,23.438,27.832,32.227,-61.035,37.109
1584600274.118,68.848,32.715,36.621,137.207,17.090
1584600274.122,61.523,31.250,30.273,135.742,41.504
1584600274.126,3.418,24.902,25.391,-57.617,4.883
1584600274.130,-8.301,26.855,27.344,-93.750,27.344
1584600274.134,37.109,35.156,32.715,101.562,65.918
1584600274.138,44.434,27.832,32.715,170.898,49.316
1584600274.142,13.672,15.137,27.832,-4.395,51.758
1584600274.145,-3.906,13.672,27.832,-118.164,-0.488
1584600274.149,27.344,24.902,32.715,28.809,0.977
1584600274.153,48.340,29.297,33.203,167.480,41.504
1584600274.157,14.160,24.902,29.297,50.781,34.180
1584600274.161,-3.906,23.438,24.902,-115.234,27.832
1584600274.165,25.879,28.320,28.809,-22.461,41.992
1584600274.169,54.688,33.203,32.227,162.109,46.387
1584600274.173,32.715,26.367,27.832,109.863,20.020
1584600274.177,-5.371,20.508,22.949,-79.102,-29.785
1584600274.181,14.160,27.832,25.391,-69.336,11.719
1584600274.185,59.082,35.645,29.785,124.023,52.246
1584600274.188,44.922,31.738,26.367,147.461,32.715
1584600274.192,-2.441,21.484,21.484,-42.969,27.344
1584600274.196,-9.277,23.438,21.484,-104.980,-1.953
1584600274.200,35.156,36.621,27.832,79.590,14.160
1584600274.204,59.082,35.645,27.832,175.781,51.758
1584600274.208,20.020,25.391,22.461,11.230,55.176
1584600274.212,-2.930,22.949,20.996,-121.094,3.906
1584600274.216,36.621,29.297,22.949,23.926,33.691
1584600274.220,49.316,34.668,28.809,175.293,71.289
1584600274.224,19.043,29.297,28.809,74.219,40.039
1584600274.227,-7.812,24.902,24.902,-104.004,39.062
1584600274.231,14.160,31.250,28.809,-35.156,37.598
1584600274.235,55.176,34.668,35.156,158.691,20.996
1584600274.239,47.363,32.227,34.668,124.512,29.297
1584600274.243,1.953,25.391,29.785,-67.871,28.320
1584600274.247,9.766,25.879,28.320,-71.777,-49.316
1584600274.251,54.199,33.691,31.250,117.676,4.395
1584600274.255,38.086,33.203,27.832,146.973,31.250
1584600274.259,-5.371,23.926,21.484,-39.551,-13.184
1584600274.263,-3.418,21.484,23.926,-113.281,23.438
1584600274.267,37.598,29.785,29.785,62.500,16.602
1584600274.270,43.945,31.250,31.250,167.480,7.324
1584600274.274,-1.953,22.461,23.438,24.414,52.246
1584600274.278,-21.484,17.090,18.066,-113.770,95.215
1584600274.282,19.043,22.949,24.414,3.906,49.316
1584600274.286,39.551,28.320,26.855,166.504,51.758
1584600274.290,8.789,22.461,20.020,77.148,69.824
1584600274.294,-20.508,13.672,18.555,-117.188,40.527
1584600274.298,6.836,19.531,24.414,-64.941,75.195
1584600274.302,43.945,26.855,26.855,128.418,75.684
1584600274.306,24.414,20.996,21.484,113.770,37.109
1584600274.310,-26.855,14.648,17.090,-79.590,39.062
1584600274.313,-19.531,19.043,17.090,-100.098,-19.043
1584600274.317,27.344,26.367,20.996,94.727,-41.016
1584600274.321,35.156,23.926,22.461,150.391,2.441
1584600274.325,3.906,21.973,18.555,-30.762,43.945
1584600274.329,-1.465,25.879,16.602,-131.836,28.320
1584600274.333,22.461,27.344,23.438,30.762,-0.977
1584600274.337,33.203,27.832,28.809,162.598,35.156
1584600274.341,9.277,22.949,23.926,26.367,69.824
1584600274.345,-13.184,20.020,19.531,-136.230,16.602
1584600274.349,28.809,27.344,24.902,-24.414,-40.527
1584600274.352,69.336,34.180,31.250,152.344,-30.273
1584600274.356,25.879,27.344,30.762,89.844,-31.738
1584600274.360,-30.762,17.090,24.902,-96.680,-35.645
1584600274.364,-2.930,22.461,23.926,-60.547,-15.625
1584600274.368,50.293,32.715,29.785,137.207,-17.090
1584600274.372,49.316,31.250,28.809,143.066,-8.789
1584600274.376,2.930,21.973,25.879,-45.410,1.953
1584600274.380,-5.371,21.973,26.367,-91.309,9.766
1584600274.384,36.621,29.297,33.691,96.191,49.805
1584600274.388,49.805,30.273,35.645,167.480,68.359
1584600274.392,17.578,24.902,27.832,-1.953,52.246
1584600274.395,-9.277,23.438,26.367,-108.398,12.207
1584600274.399,31.738,29.785,31.250,39.551,24.414
1584600274.403,62.500,32.715,31.738,176.270,95.215
1584600274.407,30.762,31.250,27.344,58.594,29.785
1584600274.411,-1.953,27.832,24.902,-102.051,-22.949
1584600274.415,26.855,27.832,28.320,-10.742,66.895
1584600274.419,61.035,31.738,35.645,169.434,65.918
1584600274.423,31.738,28.320,35.156,119.629,4.883
1584600274.427,-12.207,22.949,29.297,-79.102,-7.324
1584600274.431,-0.977,25.879,29.297,-69.824,38.086
1584600274.435,48.340,33.691,32.227,123.047,71.289
1584600274.438,53.711,34.668,29.785,147.461,10.742
1584600274.442,17.578,27.344,20.508,-42.480,50.293
1584600274.446,17.578,25.391,20.020,-104.004,84.961
1584600274.450,49.316,30.273,26.855,81.543,70.312
1584600274.454,54.199,30.762,29.785,169.434,26.367
