timestamps,TP9,AF7,AF8,TP10,Right AUX
1584546493.759,21.973,24.902,22.461,-2.930,13.184
1584546493.763,32.227,28.809,29.785,0.488,36.133
1584546493.767,19.043,31.738,28.320,31.738,29.297
1584546493.770,9.766,29.297,26.367,40.039,60.059
1584546493.774,19.043,28.320,26.855,4.883,72.266
1584546493.778,25.879,21.973,20.020,-13.184,12.695
1584546493.782,17.578,20.996,24.902,18.066,44.922
1584546493.786,3.906,25.879,32.227,35.156,13.672
1584546493.790,4.883,25.879,26.855,1.953,41.504
1584546493.794,18.066,29.785,26.855,-20.508,80.566
1584546493.798,20.508,29.297,26.367,7.324,44.434
1584546493.802,9.277,27.344,27.344,40.039,62.500
1584546493.806,0.488,27.344,33.691,20.996,49.805
1584546493.810,7.324,24.902,34.668,-12.207,5.371
1584546493.813,14.648,24.414,30.273,-5.371,17.578
1584546493.817,3.906,27.344,33.691,25.879,-1.465
1584546493.821,-0.488,31.250,35.156,27.832,28.809
1584546493.825,15.137,27.832,27.832,-5.859,53.711
1584546493.829,25.879,23.926,27.832,-7.812,43.945
1584546493.833,10.254,23.926,27.832,18.066,30.273
1584546493.837,-0.977,24.414,32.227,26.367,5.859
1584546493.841,16.602,20.996,32.227,6.348,10.742
1584546493.845,29.297,17.578,28.809,-10.254,36.621
1584546493.849,21.973,27.832,26.855,13.672,46.875
1584546493.853,10.742,34.180,26.855,36.621,28.809
1584546493.856,7.812,27.344,27.832,13.672,27.832
1584546493.860,21.973,20.508,26.855,-9.766,54.688
1584546493.864,25.391,20.996,30.273,9.766,69.336
1584546493.868,12.207,26.367,32.227,40.527,-5.859
1584546493.872,11.719,25.879,31.250,35.156,-6.348
1584546493.876,21.973,21.484,26.367,-3.906,74.707
1584546493.880,21.484,21.484,27.832,-8.301,15.625
1584546493.884,9.277,24.414,29.785,29.785,-4.395
1584546493.888,4.395,25.879,28.809,35.645,33.691
1584546493.892,17.578,23.926,30.762,2.930,11.719
1584546493.895,24.902,19.043,30.762,-3.418,38.574
1584546493.899,15.625,19.531,32.227,27.344,108.398
1584546493.903,4.395,22.461,30.273,40.527,43.945
1584546493.907,11.230,23.438,31.250,11.230,-16.602
