timestamps,TP9,AF7,AF8,TP10,Right AUX
1584599271.657,37.109,24.414,26.855,53.711,92.773
1584599271.661,50.781,20.996,34.668,112.793,52.246
1584599271.665,19.043,11.719,39.551,48.340,20.508
1584599271.669,8.301,17.090,38.574,-17.090,-15.625
1584599271.673,27.832,31.738,32.227,30.273,-0.977
1584599271.677,33.203,33.691,28.320,89.844,69.824
1584599271.681,7.812,31.738,25.391,28.320,46.387
1584599271.684,-19.043,28.809,25.879,-52.246,1.953
1584599271.688,15.625,33.203,24.902,-16.113,3.418
1584599271.692,55.664,43.457,21.484,95.215,4.395
1584599271.696,23.438,38.574,21.484,72.754,26.855
1584599271.700,-13.672,29.297,21.973,-40.039,97.168
1584599271.704,14.160,28.809,21.484,-37.109,69.336
1584599271.708,63.965,33.691,23.926,92.285,-12.207
1584599271.712,58.105,34.668,24.902,116.699,35.645
1584599271.716,-1.465,30.762,22.949,-7.324,51.758
1584599271.720,-7.324,28.809,20.996,-41.504,32.715
1584599271.724,45.410,34.180,25.391,58.105,15.137
1584599271.727,56.152,36.133,30.273,113.770,25.879
1584599271.731,12.695,29.297,26.367,26.855,48.828
1584599271.735,-10.254,25.391,23.438,-47.363,45.898
1584599271.739,35.156,30.762,27.344,27.344,-2.930
1584599271.743,61.035,35.645,29.785,109.375,-10.742
1584599271.747,18.066,29.785,28.809,50.781,8.301
1584599271.751,-20.020,22.461,25.879,-55.664,20.020
1584599271.755,16.602,28.320,26.367,-25.391,50.781
1584599271.759,57.129,37.598,29.297,90.332,34.180
1584599271.763,32.715,31.250,29.785,79.102,-14.648
1584599271.767,-12.695,22.949,28.809,-30.762,15.625
1584599271.770,3.906,27.344,28.809,-38.574,56.152
1584599271.774,54.199,31.250,28.809,65.918,41.992
1584599271.778,59.082,31.738,27.832,99.609,4.883
1584599271.782,6.836,23.926,23.438,2.441,33.203
1584599271.786,-13.184,21.973,24.414,-51.270,66.895
1584599271.790,40.527,29.785,31.250,49.316,24.902
1584599271.794,56.152,29.785,29.785,121.094,3.906
1584599271.798,9.277,25.391,23.926,40.527,47.363
1584599271.802,-15.625,22.461,23.438,-53.711,57.129
1584599271.806,28.809,23.438,26.855,6.348,18.066
1584599271.809,56.641,27.344,30.762,111.816,0.488
1584599271.813,20.508,24.902,32.227,53.711,26.367
1584599271.817,-16.602,18.555,29.785,-44.434,32.227
1584599271.821,13.672,23.438,30.273,-19.531,44.922
1584599271.825,62.988,30.762,30.762,87.891,37.598
1584599271.829,45.898,29.297,29.297,85.938,23.926
1584599271.833,-7.324,22.461,29.785,-25.391,55.176
1584599271.837,12.695,19.531,35.645,-25.391,57.129
1584599271.841,76.172,28.809,35.156,98.633,32.227
1584599271.845,48.828,37.109,24.414,111.328,-9.766
1584599271.849,-17.090,32.715,19.531,-18.066,-14.160
1584599271.852,-18.555,27.344,21.973,-63.477,30.762
1584599271.856,30.273,35.156,21.973,34.180,78.613
1584599271.860,45.898,41.016,16.602,88.379,50.781
1584599271.864,2.441,31.738,17.090,12.207,-34.180
1584599271.868,-20.996,26.855,22.461,-75.684,1.953
1584599271.872,23.438,29.297,27.832,-19.043,31.738
1584599271.876,56.152,31.738,34.668,90.820,43.945
1584599271.880,23.926,30.762,37.109,65.430,94.727
1584599271.884,-15.137,26.855,33.203,-43.945,73.730
1584599271.888,7.324,27.832,31.738,-27.832,5.371
1584599271.892,54.688,33.691,34.668,87.891,-23.438
1584599271.895,46.875,34.668,33.691,91.309,-24.414
1584599271.899,-5.859,28.809,30.762,-14.648,-2.441
1584599271.903,-4.883,28.320,32.227,-42.969,56.641
1584599271.907,47.852,35.645,34.668,54.199,74.707
1584599271.911,52.246,34.668,34.180,111.328,73.242
1584599271.915,7.324,26.855,30.273,20.996,58.105
1584599271.919,-4.883,26.367,30.762,-70.312,-10.254
1584599271.923,41.504,35.645,32.227,14.160,-51.270
1584599271.927,65.430,40.039,33.203,120.117,32.715
1584599271.931,22.949,32.715,31.738,61.523,53.223
1584599271.934,-8.301,27.344,25.391,-38.574,41.992
1584599271.938,25.879,30.762,26.855,17.578,71.777
1584599271.942,72.754,34.668,30.762,122.070,34.668
1584599271.946,45.410,32.715,28.320,78.613,0.488
1584599271.950,-10.254,27.832,26.855,-27.344,-20.508
1584599271.954,6.348,29.785,32.227,-24.414,20.020
1584599271.958,51.758,36.621,35.645,79.590,44.922
1584599271.962,46.387,33.691,35.156,97.168,-17.090
1584599271.966,-4.395,27.344,35.156,-7.324,-35.645
1584599271.970,-4.395,28.320,36.621,-45.898,-15.137
1584599271.974,47.363,33.691,40.527,57.129,54.688
1584599271.977,50.293,34.180,40.527,125.977,90.332
1584599271.981,6.348,26.855,38.086,38.086,52.734
1584599271.985,-13.672,24.414,33.203,-58.594,13.184
1584599271.989,23.438,28.809,30.762,15.625,56.641
1584599271.993,50.781,31.250,36.621,115.234,90.332
1584599271.997,15.137,29.785,32.715,53.223,52.734
1584599272.001,-14.160,24.414,25.391,-52.246,20.020
1584599272.005,16.602,24.902,29.785,-11.719,24.902
1584599272.009,51.270,31.250,34.180,96.191,38.574
1584599272.013,26.367,31.738,33.691,79.590,52.246
1584599272.017,-23.926,23.926,32.227,-24.902,56.152
1584599272.020,-2.441,23.926,30.762,-31.738,-24.902
1584599272.024,55.176,30.762,33.203,85.938,8.789
1584599272.028,48.828,28.320,33.203,110.352,22.949
1584599272.032,-0.977,22.949,29.785,5.859,1.465
1584599272.036,-3.418,23.438,32.715,-41.992,11.230
1584599272.040,44.434,30.273,35.645,56.152,-4.395
1584599272.044,60.059,31.738,36.621,133.301,30.762
1584599272.048,21.484,26.367,33.203,46.875,-4.883
1584599272.052,-3.906,21.973,32.227,-50.781,-0.488
