timestamps,TP9,AF7,AF8,TP10,Right AUX
1584598908.048,11.230,34.180,26.855,48.828,49.316
1584598908.052,-8.789,28.320,27.344,-16.113,3.906
1584598908.056,41.992,29.785,33.203,-7.324,10.254
1584598908.060,61.523,30.273,31.250,54.688,40.527
1584598908.063,19.531,26.855,25.879,53.223,35.645
1584598908.067,-12.695,22.461,26.367,-10.742,46.875
1584598908.071,23.926,25.879,27.832,-28.809,3.906
1584598908.075,69.336,33.691,29.785,41.992,-36.133
1584598908.079,39.551,28.809,27.344,66.895,-12.207
1584598908.083,-11.230,23.926,22.949,10.254,22.949
1584598908.087,7.812,26.855,21.484,-31.738,74.707
1584598908.091,60.059,30.762,26.855,23.926,78.125
1584598908.095,50.293,35.645,25.391,71.777,67.383
1584598908.099,0.488,34.180,21.973,34.668,64.453
1584598908.102,0.977,26.855,23.926,-19.531,-11.719
1584598908.106,52.246,27.832,27.344,8.301,-15.137
1584598908.110,62.500,28.809,31.738,69.336,36.621
1584598908.114,15.137,21.973,28.809,52.734,16.113
1584598908.118,6.348,19.531,27.344,5.859,-1.953
1584598908.122,55.664,29.785,26.367,7.324,41.504
1584598908.126,69.824,33.203,23.438,51.758,16.113
1584598908.130,27.832,30.273,20.996,51.270,5.859
1584598908.134,-22.461,31.250,20.508,-15.137,31.738
1584598908.138,0.000,32.227,19.531,-45.410,-21.973
1584598908.142,53.223,37.598,22.949,25.879,-15.137
1584598908.145,34.180,40.039,23.926,57.617,36.133
1584598908.149,-23.926,36.621,17.578,-6.348,49.805
1584598908.153,-10.742,37.109,18.066,-49.316,32.715
1584598908.157,45.898,36.621,22.461,9.277,84.961
1584598908.161,39.551,33.691,24.414,55.664,87.402
1584598908.165,-14.648,28.320,20.996,17.090,9.277
1584598908.169,-22.461,29.785,17.578,-37.109,15.137
1584598908.173,31.738,34.668,20.996,-15.625,76.660
1584598908.177,49.316,33.203,24.414,43.945,49.316
1584598908.181,-1.953,30.762,20.996,31.738,36.621
1584598908.185,-21.973,29.297,18.066,-25.391,54.688
1584598908.188,29.785,34.668,21.973,-21.484,60.547
1584598908.192,58.594,36.621,23.926,43.457,34.180
1584598908.196,20.020,32.227,21.973,53.223,49.316
1584598908.200,-20.996,25.391,17.578,-6.836,82.520
1584598908.204,9.766,27.344,18.555,-34.180,70.312
1584598908.208,58.105,32.715,20.996,25.391,74.707
1584598908.212,39.551,29.785,24.902,62.500,68.359
1584598908.216,-19.043,22.949,24.902,16.113,26.855
1584598908.220,-7.324,22.949,21.973,-34.668,-13.184
1584598908.224,57.129,32.715,25.391,6.348,-31.738
1584598908.227,57.617,35.645,25.391,66.406,-66.406
1584598908.231,3.418,30.762,25.391,43.945,-1.465
1584598908.235,-6.348,24.902,28.320,-16.602,11.230
1584598908.239,45.898,27.344,27.344,1.953,-14.648
1584598908.243,64.453,32.715,23.438,63.965,13.672
1584598908.247,13.184,29.297,20.996,52.734,-2.930
1584598908.251,-16.602,27.344,20.020,-7.812,23.438
1584598908.255,29.297,30.273,23.926,-15.625,30.762
1584598908.259,65.918,31.738,26.855,48.828,17.578
1584598908.263,29.785,28.320,24.414,64.453,43.457
1584598908.267,-17.578,25.391,25.391,0.977,23.438
1584598908.270,7.812,30.273,25.391,-28.809,9.766
1584598908.274,59.082,34.180,24.414,31.738,19.531
1584598908.278,40.039,33.203,22.949,67.871,43.457
1584598908.282,-12.207,28.320,24.414,26.367,19.043
1584598908.286,-0.977,29.785,30.762,-20.996,-7.324
1584598908.290,52.246,32.715,31.738,15.137,14.160
1584598908.294,55.664,32.715,28.809,67.383,12.207
1584598908.298,2.930,31.250,24.902,38.086,5.371
1584598908.302,-14.648,28.809,21.484,-23.438,-9.766
1584598908.306,36.133,30.762,22.461,-11.230,-11.719
1584598908.310,60.059,28.320,23.926,49.805,29.297
1584598908.313,16.113,28.809,25.391,44.922,3.906
1584598908.317,-19.043,27.832,25.391,-9.277,-2.441
1584598908.321,18.555,25.391,28.320,-16.113,65.918
1584598908.325,54.688,26.855,28.809,43.457,71.777
