timestamps,TP9,AF7,AF8,TP10,Right AUX
1584598275.048,6.348,42.969,48.340,-80.566,13.672
1584598275.052,415.039,78.125,79.590,817.871,40.527
1584598275.056,164.551,83.984,91.797,360.840,59.570
1584598275.060,-298.828,62.012,75.195,-657.227,85.938
1584598275.063,-114.258,65.918,71.777,-352.539,58.105
1584598275.067,379.883,93.262,92.285,704.590,5.371
1584598275.071,294.922,94.238,97.168,609.375,17.090
1584598275.075,-226.562,65.430,80.566,-476.074,46.387
1584598275.079,-246.582,55.664,67.871,-621.094,26.855
1584598275.083,271.973,76.660,79.102,466.309,9.766
1584598275.087,375.000,86.914,89.844,782.227,0.000
1584598275.091,-95.703,69.336,79.102,-184.570,0.488
1584598275.095,-321.289,49.805,62.988,-736.816,10.742
1584598275.099,128.906,61.035,71.777,163.086,43.945
1584598275.102,416.504,78.613,83.984,833.984,57.617
1584598275.106,46.875,69.336,76.660,123.047,36.621
1584598275.110,-342.773,48.828,62.012,-738.770,75.684
1584598275.114,-25.391,50.293,62.988,-159.180,25.879
1584598275.118,398.438,67.871,70.801,760.254,7.812
1584598275.122,179.688,65.918,69.336,386.719,25.391
1584598275.126,-316.406,43.457,53.223,-653.809,-32.227
1584598275.130,-184.570,37.109,48.828,-463.379,-41.016
1584598275.134,333.008,58.105,66.895,621.582,11.719
1584598275.138,300.781,67.871,72.754,639.160,11.719
1584598275.142,-211.914,48.828,58.105,-414.551,-3.418
1584598275.145,-296.875,32.715,45.898,-669.434,28.809
1584598275.149,208.984,52.246,59.082,365.723,28.809
1584598275.153,374.023,68.359,71.289,776.367,-6.836
1584598275.157,-80.078,49.805,61.523,-123.047,20.996
1584598275.161,-361.328,25.879,44.434,-772.461,38.574
1584598275.165,63.477,40.527,46.387,36.133,36.621
1584598275.169,393.066,61.523,62.988,795.898,23.926
1584598275.173,60.547,51.758,64.941,182.129,12.207
1584598275.177,-363.770,31.250,45.410,-754.395,71.289
1584598275.181,-92.285,35.645,44.434,-261.230,83.008
1584598275.185,370.605,58.105,63.965,739.746,75.684
1584598275.188,202.637,56.641,68.359,470.215,43.945
1584598275.192,-302.734,34.668,53.711,-600.586,49.805
1584598275.196,-223.145,26.855,42.480,-540.527,62.012
1584598275.200,299.316,47.363,52.246,553.223,48.828
1584598275.204,313.965,58.594,60.547,674.316,31.738
1584598275.208,-190.918,34.668,48.828,-362.305,-11.719
1584598275.212,-327.148,21.484,39.551,-722.656,-26.367
1584598275.216,160.156,44.434,51.758,271.484,14.648
1584598275.220,367.676,58.594,65.430,794.434,22.461
1584598275.224,-49.805,43.945,56.152,-40.527,6.348
1584598275.227,-367.188,25.391,35.156,-782.227,9.766
1584598275.231,25.391,38.574,38.574,-32.715,37.598
1584598275.235,397.949,61.035,55.664,797.852,50.781
1584598275.239,105.957,55.664,55.176,267.090,27.344
1584598275.243,-355.957,27.832,35.645,-729.492,40.039
1584598275.247,-137.695,28.320,32.715,-353.027,57.617
1584598275.251,348.633,52.246,51.758,687.012,72.754
1584598275.255,228.027,54.688,58.594,529.785,84.961
1584598275.259,-285.156,30.273,43.457,-546.875,48.828
1584598275.263,-270.020,22.461,33.203,-608.398,39.062
1584598275.267,257.324,46.387,47.363,478.516,11.230
1584598275.270,330.566,54.688,59.570,705.078,6.836
1584598275.274,-159.180,38.574,52.734,-285.645,50.293
1584598275.278,-341.309,23.438,40.039,-747.070,22.949
1584598275.282,125.977,34.180,41.504,190.430,-29.297
1584598275.286,379.883,51.758,52.246,792.480,-3.418
1584598275.290,-13.672,41.992,48.340,34.668,74.219
1584598275.294,-381.348,15.137,30.273,-780.762,94.238
1584598275.298,-33.691,20.020,30.273,-129.395,39.551
1584598275.302,375.977,47.363,45.410,765.137,50.293
1584598275.306,132.324,47.363,46.387,329.102,79.590
1584598275.310,-343.262,21.973,29.785,-700.684,31.738
1584598275.313,-173.340,17.578,25.879,-437.012,-16.113
1584598275.317,323.242,44.922,46.875,632.812,8.789
1584598275.321,258.789,53.223,52.246,577.148,45.898
1584598275.325,-248.047,28.320,33.203,-483.887,25.391
1584598275.329,-292.969,14.160,22.461,-657.715,23.926
1584598275.333,218.262,35.645,37.598,398.438,32.227
1584598275.337,344.238,50.781,51.270,739.746,18.066
1584598275.341,-115.234,34.668,43.945,-196.289,33.691
1584598275.345,-354.980,16.113,27.344,-766.602,37.598
1584598275.349,83.008,31.250,33.691,103.516,7.812
1584598275.352,383.789,53.223,46.875,799.805,12.695
1584598275.356,33.203,42.969,43.945,126.465,-10.742
1584598275.360,-365.723,21.484,28.320,-774.414,7.324
1584598275.364,-62.988,28.809,28.809,-224.609,37.598
1584598275.368,373.535,51.758,43.945,750.977,41.016
1584598275.372,168.945,49.316,46.387,416.992,37.598
1584598275.376,-325.195,22.949,31.738,-644.531,5.371
1584598275.380,-212.402,21.484,25.879,-498.535,-21.973
1584598275.384,301.758,43.945,42.969,587.891,-3.418
1584598275.388,286.621,50.293,53.223,642.090,49.805
1584598275.392,-220.703,30.762,43.457,-400.391,45.410
1584598275.395,-318.848,15.625,28.809,-695.312,-16.113
1584598275.399,180.176,36.621,34.668,323.242,33.203
1584598275.403,357.910,53.223,46.875,767.578,41.504
1584598275.407,-78.125,39.062,42.480,-115.723,34.180
1584598275.411,-361.816,22.949,29.297,-778.809,65.430
1584598275.415,48.340,35.645,33.691,29.785,29.297
1584598275.419,387.695,56.152,46.875,805.176,15.137
1584598275.423,72.266,47.363,46.387,212.402,18.066
1584598275.427,-363.770,21.973,30.762,-741.699,77.637
1584598275.431,-117.188,19.531,31.250,-287.109,80.566
1584598275.435,343.750,41.016,48.340,714.844,-0.977
1584598275.438,198.730,46.875,51.758,473.633,32.715
1584598275.442,-304.199,21.973,35.645,-594.727,27.344
1584598275.446,-248.535,13.672,28.320,-567.871,7.812
1584598275.450,273.438,38.574,42.480,510.742,60.547
1584598275.454,312.500,54.199,50.781,670.898,70.801
1584598275.458,-183.594,36.621,39.062,-332.031,41.504
1584598275.462,-337.891,17.090,25.391,-729.492,-10.742
1584598275.466,147.949,38.086,37.109,245.117,-14.160
1584598275.470,378.418,59.570,53.223,796.387,49.316
1584598275.474,-40.039,40.527,47.363,-18.066,35.156
1584598275.477,-379.395,14.160,26.367,-791.504,5.371
1584598275.481,-8.301,23.926,29.297,-71.289,7.324
