timestamps,TP9,AF7,AF8,TP10,Right AUX
1584600596.954,-5.371,20.996,23.926,3.906,-0.977
1584600596.958,-6.348,23.926,23.926,-43.457,20.996
1584600596.962,33.691,34.668,26.367,40.527,12.207
1584600596.966,41.016,32.227,28.320,103.516,35.645
1584600596.970,22.949,22.949,27.344,33.203,98.145
1584600596.974,14.160,21.484,28.320,-47.363,71.777
1584600596.977,35.156,26.855,30.273,13.184,20.996
1584600596.981,50.293,30.273,29.785,106.445,29.785
1584600596.985,27.832,26.855,29.297,61.035,40.039
1584600596.989,6.836,25.391,32.227,-32.227,44.922
1584600596.993,20.508,31.738,32.715,-16.113,43.457
1584600596.997,49.316,39.551,30.762,89.844,31.738
1584600597.001,37.598,35.156,27.832,93.262,-19.043
1584600597.005,4.395,30.762,28.320,-4.883,-28.809
1584600597.009,10.742,38.086,30.273,-30.273,33.203
1584600597.013,41.504,38.574,28.809,63.477,70.312
1584600597.017,48.340,35.645,28.320,106.445,67.871
1584600597.020,19.531,33.691,23.438,14.160,32.227
1584600597.024,1.953,33.203,20.996,-44.922,31.738
1584600597.028,30.273,34.668,24.902,29.297,31.250
1584600597.032,47.852,31.738,27.344,100.586,38.574
1584600597.036,21.484,28.809,28.320,41.992,36.621
1584600597.040,1.465,28.809,31.250,-36.621,23.438
1584600597.044,19.531,30.762,36.133,8.789,85.449
1584600597.048,46.875,33.203,34.668,106.934,40.039
1584600597.052,31.738,32.715,32.227,75.684,-2.441
1584600597.056,-0.488,27.832,30.762,-26.855,79.590
1584600597.060,11.719,26.367,28.320,-20.020,34.180
1584600597.063,43.457,30.762,28.320,82.520,-9.766
1584600597.067,34.668,30.762,30.273,95.703,71.289
1584600597.071,-4.395,22.949,31.250,-9.766,15.625
1584600597.075,-0.977,23.926,30.762,-48.828,1.465
1584600597.079,32.227,30.273,35.645,53.223,45.410
1584600597.083,31.738,27.832,37.598,102.539,27.344
1584600597.087,6.348,23.926,30.762,19.531,39.062
1584600597.091,-7.812,22.949,25.391,-46.875,22.949
1584600597.095,22.949,30.762,27.832,15.137,7.812
1584600597.099,41.016,32.715,31.738,102.051,65.430
1584600597.102,17.090,26.367,32.715,42.969,45.898
1584600597.106,-3.906,26.367,30.762,-52.246,12.207
1584600597.110,21.973,27.832,31.250,-17.090,44.434
1584600597.114,46.875,28.809,28.809,83.496,73.730
1584600597.118,34.180,28.320,28.809,62.500,68.359
1584600597.122,-4.883,24.902,32.227,-35.156,49.316
1584600597.126,7.812,24.902,34.668,-27.344,26.367
1584600597.130,47.363,27.344,31.250,82.031,38.086
1584600597.134,40.039,25.391,26.367,100.586,81.543
1584600597.138,6.348,28.809,27.344,-5.371,28.320
1584600597.142,2.441,33.691,24.414,-47.363,40.039
1584600597.145,39.062,30.273,28.809,49.805,135.254
1584600597.149,47.852,27.832,32.715,111.328,85.449
