timestamps,TP9,AF7,AF8,TP10,Right AUX
1584599217.423,13.184,27.344,15.137,25.879,66.895
1584599217.427,-26.367,20.996,14.648,-132.324,0.488
1584599217.431,26.855,29.297,22.949,14.648,-12.207
1584599217.435,73.242,36.133,27.832,196.777,-10.742
1584599217.438,24.902,29.785,23.438,85.449,-0.488
1584599217.442,-33.691,17.090,17.578,-125.488,24.414
1584599217.446,6.836,18.555,20.996,-55.176,15.137
1584599217.450,70.312,33.203,25.879,166.504,23.438
1584599217.454,45.898,34.668,25.391,145.508,33.691
1584599217.458,-24.902,20.996,21.484,-83.984,23.438
1584599217.462,-17.578,20.508,18.066,-103.516,12.207
1584599217.466,53.223,33.203,20.508,129.395,-23.926
1584599217.470,60.059,34.180,23.926,186.523,0.000
1584599217.474,-7.812,20.508,19.531,-29.785,4.395
1584599217.477,-30.273,17.090,18.066,-141.602,-20.508
1584599217.481,34.180,28.809,24.414,53.711,-10.742
1584599217.485,63.477,33.691,27.832,196.289,22.949
1584599217.489,6.836,24.902,23.438,34.180,52.734
1584599217.493,-35.645,17.578,18.066,-149.902,-3.906
1584599217.497,19.531,28.320,23.926,-17.090,21.973
1584599217.501,72.266,35.156,27.344,187.988,72.754
1584599217.505,35.645,25.879,20.996,95.215,65.430
1584599217.509,-25.391,19.043,13.184,-126.465,6.348
1584599217.513,-0.488,26.855,17.578,-71.289,-5.371
1584599217.517,67.383,34.180,28.320,164.062,68.359
1584599217.520,53.223,30.273,25.879,156.738,48.340
1584599217.524,-20.020,19.531,19.531,-77.148,17.090
1584599217.528,-20.508,18.555,20.508,-119.629,25.879
1584599217.532,50.293,27.832,27.344,106.934,-26.367
1584599217.536,57.617,28.320,27.832,185.547,29.785
1584599217.540,-5.371,21.484,20.020,-24.414,65.918
1584599217.544,-25.391,20.508,17.578,-144.043,30.762
1584599217.548,38.086,29.297,21.973,44.434,61.035
1584599217.552,74.707,35.156,24.414,197.266,58.594
1584599217.556,18.555,26.855,19.531,46.387,60.547
1584599217.560,-31.738,19.531,14.160,-139.160,46.387
1584599217.563,18.555,29.297,14.648,-22.949,-10.254
1584599217.567,75.684,38.086,17.578,176.270,11.230
1584599217.571,41.504,32.227,17.578,104.980,20.996
1584599217.575,-21.973,22.461,14.160,-115.723,0.488
1584599217.579,0.000,23.926,16.602,-86.426,62.012
1584599217.583,70.312,33.203,24.902,145.508,82.520
1584599217.587,59.082,35.156,25.879,158.691,28.809
1584599217.591,-19.531,24.414,20.508,-67.871,-2.441
1584599217.595,-22.949,20.020,20.996,-127.441,21.973
1584599217.599,50.293,31.738,26.855,86.426,31.250
1584599217.602,63.965,37.109,29.785,178.223,29.785
1584599217.606,-0.488,24.414,24.902,-9.766,47.363
1584599217.610,-32.227,16.602,21.973,-147.461,31.250
1584599217.614,27.344,26.855,25.391,21.484,54.199
1584599217.618,65.918,33.203,26.855,192.871,65.430
1584599217.622,14.648,20.996,26.855,63.477,8.301
1584599217.626,-41.504,11.719,21.484,-142.578,6.836
1584599217.630,-3.418,18.555,22.461,-46.875,21.973
1584599217.634,57.617,26.367,29.297,168.457,17.090
1584599217.638,32.715,20.996,30.762,114.746,25.879
1584599217.642,-32.227,7.812,27.832,-115.234,63.965
1584599217.645,-10.742,15.137,27.344,-109.375,39.551
1584599217.649,59.082,32.227,32.715,130.371,20.020
1584599217.653,55.664,30.762,31.738,169.434,30.762
1584599217.657,-10.254,19.043,25.391,-48.340,51.758
1584599217.661,-23.438,17.578,25.879,-133.789,37.109
1584599217.665,42.969,27.344,33.203,73.730,42.480
1584599217.669,62.988,30.273,34.668,190.430,70.801
1584599217.673,-0.977,20.996,26.367,6.348,51.270
1584599217.677,-39.062,16.113,22.461,-155.762,5.371
1584599217.681,15.625,25.879,30.273,3.418,-1.465
1584599217.685,63.477,32.227,36.133,189.453,63.965
1584599217.688,20.508,22.461,29.785,69.824,75.684
1584599217.692,-36.621,15.137,21.973,-147.949,-8.301
1584599217.696,2.930,25.391,24.414,-59.570,-7.324
1584599217.700,67.871,34.180,28.320,168.457,27.832
1584599217.704,41.016,26.855,25.879,124.023,11.719
1584599217.708,-31.738,16.602,21.973,-103.027,43.945
1584599217.712,-20.020,20.996,24.902,-112.793,33.203
1584599217.716,56.152,33.691,29.297,115.723,-21.973
1584599217.720,59.570,33.203,29.785,170.410,-34.180
1584599217.724,-11.719,21.484,25.391,-43.457,-20.020
1584599217.727,-28.320,18.555,23.926,-144.531,14.160
1584599217.731,41.992,29.785,27.832,49.805,16.602
1584599217.735,69.336,37.109,34.180,182.617,50.293
1584599217.739,8.301,26.367,33.691,24.902,60.059
1584599217.743,-37.109,18.066,26.367,-146.484,-18.555
1584599217.747,15.137,28.320,30.762,-12.207,50.293
1584599217.751,71.289,36.133,33.203,187.012,102.051
1584599217.755,35.156,29.785,27.344,89.355,31.250
1584599217.759,-30.273,21.484,22.949,-134.766,-16.602
1584599217.763,-2.441,25.391,25.391,-77.148,-44.922
1584599217.767,62.500,32.715,30.762,153.320,10.254
1584599217.770,40.527,28.320,28.320,139.160,36.621
1584599217.774,-29.785,17.578,19.531,-95.215,3.418
1584599217.778,-23.438,15.137,22.949,-134.766,-3.418
1584599217.782,48.828,28.320,33.203,91.309,10.742
1584599217.786,61.035,32.227,34.668,174.316,41.504
1584599217.790,-9.277,18.555,27.832,-27.344,36.621
1584599217.794,-35.156,12.695,24.902,-147.461,0.977
1584599217.798,30.273,26.855,31.738,40.039,-17.578
