timestamps,TP9,AF7,AF8,TP10,Right AUX
1584599719.642,37.109,26.855,26.367,21.973,52.246
1584599719.645,53.223,36.621,35.156,81.543,23.438
1584599719.649,42.969,38.574,33.691,60.059,10.742
1584599719.653,21.484,15.625,22.949,-2.930,60.059
1584599719.657,28.809,15.625,22.461,3.906,49.805
1584599719.661,49.805,31.738,24.902,63.477,-16.113
1584599719.665,39.551,31.250,23.438,60.547,-22.461
1584599719.669,14.160,23.926,22.461,-3.418,-0.488
1584599719.673,20.996,21.484,17.578,-17.578,33.691
1584599719.677,39.062,28.320,20.996,48.340,45.410
1584599719.681,36.621,27.832,24.414,77.148,72.266
1584599719.685,7.812,22.949,19.043,13.184,16.602
1584599719.688,2.930,27.344,20.020,-20.996,-66.895
1584599719.692,32.227,31.250,25.391,37.109,-13.672
1584599719.696,38.574,25.879,20.996,78.125,30.762
1584599719.700,15.625,21.973,16.113,31.250,-29.785
1584599719.704,1.465,22.461,18.066,-23.438,-11.719
1584599719.708,24.414,26.855,22.949,9.766,81.543
1584599719.712,45.898,32.715,29.297,66.406,62.500
1584599719.716,31.250,32.715,31.738,44.922,28.809
1584599719.720,10.254,26.855,25.879,-17.578,59.570
1584599719.724,26.855,28.320,20.996,-6.348,75.195
1584599719.727,50.781,32.227,23.926,64.941,-17.090
1584599719.731,37.109,23.926,24.414,63.965,4.883
1584599719.735,2.930,18.066,20.020,-3.906,52.246
1584599719.739,-1.465,22.949,18.066,-13.672,65.918
1584599719.743,30.762,29.785,20.996,48.828,0.977
1584599719.747,40.039,31.250,26.367,72.754,25.391
1584599719.751,15.625,27.832,28.320,21.484,82.031
1584599719.755,6.836,26.855,23.438,-21.973,31.250
1584599719.759,33.203,30.273,28.320,22.461,25.879
1584599719.763,45.410,35.156,32.227,65.430,15.137
1584599719.767,21.973,28.320,30.762,24.414,-31.250
1584599719.770,19.043,17.578,38.086,-4.395,7.324
1584599719.774,57.617,20.996,43.945,46.875,40.039
1584599719.778,76.660,38.574,38.086,95.703,30.273
1584599719.782,38.086,47.852,26.367,51.758,22.461
1584599719.786,-11.719,42.969,15.137,-34.668,57.129
1584599719.790,-0.977,42.969,14.648,-31.738,53.711
1584599719.794,40.039,40.527,20.020,45.898,39.062
1584599719.798,40.039,43.457,17.090,51.758,89.844
1584599719.802,14.648,48.340,6.348,-14.648,47.852
1584599719.806,5.859,38.086,5.859,-44.922,5.859
1584599719.810,25.879,34.668,8.301,13.672,13.672
1584599719.813,36.621,54.199,7.812,49.316,-10.742
1584599719.817,8.789,58.105,8.789,-3.906,23.926
1584599719.821,-1.465,45.410,8.301,-37.598,25.879
1584599719.825,27.832,45.898,4.883,8.301,28.320
1584599719.829,52.246,49.805,3.906,62.500,55.176
1584599719.833,40.039,45.898,3.906,39.551,-11.230
1584599719.837,10.742,41.992,7.812,-14.648,-13.672
1584599719.841,27.832,47.852,14.160,2.930,0.000
1584599719.845,54.199,45.898,18.066,62.988,44.922
1584599719.849,39.062,37.109,15.137,51.758,111.816
1584599719.852,14.648,38.574,9.277,-13.672,92.285
1584599719.856,23.926,43.945,16.113,-7.324,-11.719
1584599719.860,45.898,47.852,26.367,60.059,-17.578
1584599719.864,44.922,48.828,25.879,70.312,53.711
1584599719.868,18.555,38.574,21.484,7.324,44.434
1584599719.872,13.184,32.715,17.578,-26.855,60.059
1584599719.876,41.504,33.203,15.625,31.738,52.734
1584599719.880,54.199,25.879,20.508,78.125,38.574
1584599719.884,34.668,27.344,22.949,30.273,52.246
1584599719.888,18.555,31.250,14.648,-21.973,50.781
1584599719.892,39.551,30.762,16.113,18.555,2.441
1584599719.895,58.594,29.785,28.320,71.777,-0.488
1584599719.899,35.645,24.414,26.367,39.551,21.973
1584599719.903,7.812,16.602,18.555,-19.043,-39.062
1584599719.907,26.367,22.949,20.508,0.977,-28.809
1584599719.911,50.293,30.762,23.438,62.012,61.035
1584599719.915,33.203,30.273,19.531,49.316,33.691
1584599719.919,11.230,29.297,19.531,-11.230,-15.625
1584599719.923,22.461,33.691,25.879,-11.719,37.109
1584599719.927,59.570,39.551,30.762,57.617,58.105
1584599719.931,61.035,26.855,30.273,83.008,4.883
1584599719.935,18.066,12.695,26.855,22.949,22.949
1584599719.938,2.930,26.367,30.762,-8.301,48.340
1584599719.942,27.344,32.227,32.715,39.551,10.254
1584599719.946,36.621,15.625,24.902,67.383,31.738
1584599719.950,17.578,13.184,21.484,20.508,27.832
1584599719.954,11.719,20.996,26.855,-21.973,-7.812
1584599719.958,34.180,21.484,32.715,16.113,30.273
1584599719.962,46.875,32.715,34.180,71.289,12.695
1584599719.966,31.738,29.785,27.832,47.852,-1.953
1584599719.970,12.695,15.137,19.043,-14.160,35.156
1584599719.974,22.949,20.020,18.066,-1.465,27.832
1584599719.977,45.898,25.391,21.484,66.406,52.246
1584599719.981,44.922,24.902,25.391,68.359,49.316
1584599719.985,24.414,21.973,20.020,0.977,33.691
1584599719.989,22.461,18.066,13.672,-17.090,49.316
1584599719.993,43.457,22.949,18.066,49.805,39.062
1584599719.997,45.898,32.227,21.973,76.172,3.906
1584599720.001,24.902,28.809,24.414,17.578,-5.371
1584599720.005,22.461,31.250,27.344,-14.160,49.316
1584599720.009,35.645,24.414,23.438,30.273,57.129
1584599720.013,42.480,14.160,25.391,73.730,-0.977
1584599720.017,19.531,17.090,24.902,38.086,11.719
