timestamps,TP9,AF7,AF8,TP10,Right AUX
1584546405.868,33.203,26.855,29.785,26.367,57.617
1584546405.872,12.695,30.273,31.738,55.176,23.438
1584546405.876,14.648,32.227,31.738,34.180,5.371
1584546405.880,30.273,26.367,29.297,1.465,-8.789
1584546405.884,32.715,23.926,29.785,14.648,-26.855
1584546405.888,16.602,26.855,28.809,44.922,-6.836
1584546405.892,8.301,29.785,27.832,35.645,4.883
1584546405.895,19.043,27.832,27.344,-0.488,17.578
1584546405.899,29.297,27.344,25.879,2.930,36.621
1584546405.903,18.555,25.879,29.297,40.527,37.109
1584546405.907,6.836,23.926,31.738,47.852,0.000
1584546405.911,18.555,25.391,29.785,18.066,8.789
1584546405.915,30.762,26.855,25.879,1.465,63.477
1584546405.919,22.949,28.809,25.879,22.949,36.621
1584546405.923,7.812,32.227,29.297,43.945,-5.859
1584546405.927,15.137,31.738,30.762,22.949,27.344
1584546405.931,32.715,27.344,29.297,-2.441,60.059
1584546405.935,34.668,24.414,27.344,18.066,54.199
1584546405.938,22.949,26.855,27.344,42.480,58.594
1584546405.942,17.578,30.273,26.855,22.461,9.766
1584546405.946,31.738,30.762,24.902,-5.859,-21.973
1584546405.950,40.527,31.250,23.926,6.348,38.086
1584546405.954,22.461,32.227,22.461,36.621,93.262
1584546405.958,11.719,31.738,21.973,33.691,26.855
1584546405.962,23.926,28.320,21.973,1.465,-10.742
1584546405.966,31.250,26.367,23.438,-2.441,4.395
1584546405.970,18.066,26.367,27.832,31.738,-20.996
1584546405.974,10.254,29.297,31.250,44.922,4.883
1584546405.978,20.508,30.762,29.785,16.113,62.988
1584546405.981,33.691,30.762,25.391,-2.930,58.594
1584546405.985,26.855,30.273,27.832,22.949,25.879
1584546405.989,14.648,33.203,32.715,49.805,44.922
1584546405.993,19.043,33.203,27.832,31.250,66.895
1584546405.997,32.715,27.344,23.438,1.953,62.012
1584546406.001,34.668,29.785,27.832,16.113,18.555
1584546406.005,16.602,33.691,30.273,47.363,-14.648
1584546406.009,14.160,32.227,31.250,37.598,18.066
1584546406.013,31.250,30.273,30.762,5.859,75.195
1584546406.017,31.250,29.785,31.250,6.348,80.566
1584546406.020,16.113,31.250,30.273,38.086,52.734
1584546406.024,12.695,32.227,27.344,43.457,52.246
1584546406.028,24.902,32.227,28.320,9.277,36.621
1584546406.032,37.109,30.273,30.762,1.953,-8.301
1584546406.036,26.367,27.832,33.691,34.180,-12.695
1584546406.040,12.207,28.809,35.645,49.805,-4.395
1584546406.044,19.531,28.320,33.203,13.672,-27.832
1584546406.048,35.156,27.344,32.715,-2.441,27.832
1584546406.052,30.762,26.855,36.621,34.180,73.730
1584546406.056,14.648,27.344,37.598,56.152,53.711
1584546406.060,20.508,30.762,36.133,33.691,28.320
1584546406.063,38.086,31.250,32.227,8.301,59.570
1584546406.067,42.480,30.273,31.738,26.855,49.805
1584546406.071,26.367,30.273,33.203,53.711,25.879
1584546406.075,18.066,31.738,30.273,39.062,54.199
1584546406.079,30.762,30.762,25.391,3.906,3.906
1584546406.083,35.156,31.250,26.367,5.371,8.301
1584546406.087,20.996,30.273,32.715,34.180,37.598
1584546406.091,10.254,31.738,34.668,39.062,15.625
1584546406.095,18.066,32.715,31.738,12.695,19.531
1584546406.099,29.297,28.320,28.809,2.441,30.273
1584546406.103,25.391,29.785,31.250,36.621,53.223
1584546406.106,17.090,32.227,34.180,59.570,22.949
1584546406.110,22.949,32.715,32.227,29.297,52.246
1584546406.114,37.109,31.250,28.320,0.977,21.484
1584546406.118,34.180,29.785,29.785,27.344,-26.855
1584546406.122,17.578,31.250,33.203,54.199,-8.789
1584546406.126,12.207,30.762,31.250,27.344,-5.371
1584546406.130,20.996,28.320,27.344,-11.230,52.734
1584546406.134,25.879,26.855,26.855,-0.488,37.109
1584546406.138,16.113,30.762,30.273,41.504,-5.371
1584546406.142,11.230,34.180,30.273,37.109,14.160
1584546406.145,23.926,31.250,24.902,-2.441,39.062
1584546406.149,35.156,27.344,24.902,-2.930,20.020
1584546406.153,24.414,28.320,26.855,34.180,21.484
1584546406.157,18.555,31.250,25.391,48.340,20.020
1584546406.161,30.762,29.785,25.391,20.020,-13.184
1584546406.165,39.062,24.902,26.367,5.371,38.574
1584546406.169,25.879,25.391,23.438,26.855,47.363
1584546406.173,10.254,30.762,23.926,46.875,48.340
1584546406.177,19.043,31.250,23.926,19.043,27.832
1584546406.181,39.062,29.785,21.973,-10.254,-26.367
1584546406.185,39.551,32.715,24.902,16.602,-40.527
1584546406.188,20.508,33.691,28.320,44.922,-2.441
1584546406.192,14.648,32.227,29.297,24.902,30.762
1584546406.196,21.484,28.809,28.320,-8.301,20.020
1584546406.200,25.879,27.344,29.785,5.371,20.996
1584546406.204,18.066,30.273,30.273,38.086,33.691
1584546406.208,11.719,31.738,27.344,32.715,20.508
1584546406.212,27.832,29.785,24.414,2.441,1.465
1584546406.216,39.551,28.320,23.926,6.348,23.926
1584546406.220,26.855,31.738,26.855,38.574,62.988
1584546406.224,19.531,31.250,28.320,44.434,7.812
1584546406.228,31.738,31.738,27.344,15.137,-36.621
1584546406.231,47.363,32.227,27.832,2.441,6.836
1584546406.235,39.551,31.738,28.809,29.297,21.484
1584546406.239,21.973,32.227,30.762,52.246,-1.953
1584546406.243,26.367,29.785,30.762,33.203,-3.906
1584546406.247,41.504,26.367,29.297,8.301,-19.531
1584546406.251,33.203,26.367,29.297,18.555,5.371
1584546406.255,15.137,32.227,29.785,43.945,64.941
1584546406.259,20.996,33.691,30.273,37.598,65.430
1584546406.263,39.551,28.320,28.320,11.719,60.059
1584546406.267,40.527,27.344,26.855,13.184,86.426
1584546406.270,23.926,29.297,28.320,34.668,58.105
1584546406.274,15.137,32.227,30.273,42.480,37.109
1584546406.278,31.250,31.250,29.785,20.508,34.180
1584546406.282,42.969,25.879,33.691,16.602,7.812
1584546406.286,28.809,25.391,39.551,46.387,26.367
1584546406.290,8.301,29.785,37.598,49.316,31.250
1584546406.294,9.766,30.762,29.785,11.230,-1.465
1584546406.298,28.809,28.809,25.879,-9.277,10.254
1584546406.302,23.438,26.367,26.855,18.066,34.180
1584546406.306,7.324,27.344,28.809,46.875,-11.230
1584546406.310,14.648,28.320,29.785,24.414,-11.230
1584546406.313,28.809,24.902,29.297,-3.906,14.160
1584546406.317,28.809,25.879,32.227,15.137,40.039
1584546406.321,19.531,30.762,36.621,49.316,97.656
1584546406.325,16.602,32.227,36.133,41.504,75.684
1584546406.329,27.344,31.250,33.691,6.348,-5.859
1584546406.333,30.762,32.227,32.715,4.883,36.621
1584546406.337,15.625,35.156,32.227,32.715,45.898
1584546406.341,7.324,33.691,30.273,42.480,-0.977
1584546406.345,23.926,32.227,29.785,16.602,2.441
1584546406.349,39.062,28.320,30.762,7.324,-6.836
1584546406.353,26.367,28.809,31.250,31.738,26.367
1584546406.356,11.230,33.203,30.762,42.480,46.387
1584546406.360,19.531,33.203,29.297,12.695,29.297
1584546406.364,36.621,30.273,29.297,-3.906,31.738
1584546406.368,32.227,28.320,32.227,31.250,35.645
1584546406.372,14.160,27.832,31.738,51.270,64.453
1584546406.376,14.648,28.320,31.738,22.949,51.758
1584546406.380,31.738,27.344,31.250,-0.488,22.461
1584546406.384,31.738,26.855,27.832,11.230,32.227
1584546406.388,11.230,24.414,28.809,39.062,11.719
1584546406.392,9.766,26.367,27.832,33.203,9.766
1584546406.395,29.297,29.297,27.344,4.883,39.551
1584546406.399,34.668,27.832,26.855,9.277,-21.484
1584546406.403,22.949,29.297,26.855,36.621,-34.668
1584546406.407,16.602,28.320,29.297,41.504,19.043
1584546406.411,25.391,24.902,30.273,18.066,11.230
1584546406.415,34.668,25.879,29.297,6.348,19.043
1584546406.419,20.996,29.297,25.879,20.020,21.484
1584546406.423,5.859,31.250,27.344,32.227,21.973
