timestamps,TP9,AF7,AF8,TP10,Right AUX
1584546772.431,21.484,28.809,30.273,29.785,41.504
1584546772.435,7.812,27.832,31.738,25.391,18.066
1584546772.438,23.438,22.949,27.832,0.977,33.203
1584546772.442,39.551,22.949,22.949,-2.441,50.293
1584546772.446,23.438,23.438,21.973,13.184,48.340
1584546772.450,5.371,21.973,24.414,22.461,40.527
1584546772.454,12.695,20.996,26.367,5.371,-13.672
1584546772.458,35.156,25.391,20.996,-8.301,22.949
1584546772.462,35.645,32.715,26.855,11.230,88.867
1584546772.466,18.066,33.203,35.645,34.668,26.367
1584546772.470,16.602,28.809,30.273,20.996,-35.156
1584546772.474,34.180,26.367,28.809,-0.977,14.160
1584546772.478,38.086,22.461,31.738,7.812,60.059
1584546772.481,15.137,22.949,28.809,34.180,31.738
1584546772.485,3.906,27.832,23.926,29.785,16.113
1584546772.489,23.438,28.809,23.438,0.000,25.879
1584546772.493,35.645,28.320,28.320,0.488,33.203
1584546772.497,20.996,28.809,29.785,30.273,22.461
1584546772.501,6.348,27.344,26.367,28.809,38.086
1584546772.505,20.996,29.297,24.414,1.465,32.227
1584546772.509,46.387,36.621,30.273,9.277,-0.977
1584546772.513,33.691,33.203,28.320,32.715,-1.953
1584546772.517,9.766,27.344,25.391,40.527,29.297
1584546772.520,19.043,25.879,31.738,24.414,27.344
1584546772.524,40.527,25.879,32.227,3.418,82.031
1584546772.528,38.086,23.926,29.297,20.508,57.617
1584546772.532,13.672,26.367,28.320,42.480,37.109
1584546772.536,10.742,28.320,27.344,23.438,69.336
1584546772.540,33.691,24.414,32.227,2.930,15.137
1584546772.544,41.016,23.438,35.645,13.184,79.102
1584546772.548,20.996,22.461,35.156,31.738,99.609
1584546772.552,15.625,24.902,35.645,29.785,41.016
1584546772.556,32.227,26.367,32.715,10.254,48.340
1584546772.560,38.574,24.414,30.273,12.207,25.391
1584546772.563,21.973,25.391,34.180,30.762,10.742
1584546772.567,13.672,27.344,31.738,40.039,-21.484
1584546772.571,25.391,25.391,28.320,20.996,-25.391
1584546772.575,32.715,26.855,28.320,-6.836,-27.344
1584546772.579,25.879,29.297,33.691,9.277,12.695
1584546772.583,12.207,29.785,38.086,30.273,52.734
