timestamps,TP9,AF7,AF8,TP10,Right AUX
1584599658.376,73.242,40.039,35.645,227.051,105.957
1584599658.380,57.129,36.133,33.691,146.484,78.613
1584599658.384,4.395,24.414,31.738,-122.070,-3.418
1584599658.388,19.531,27.344,32.227,-91.797,1.953
1584599658.392,77.637,39.551,35.645,183.105,38.574
1584599658.395,71.777,33.691,35.645,202.148,47.363
1584599658.399,4.883,20.020,31.250,-62.012,-1.953
1584599658.403,-3.418,19.043,29.785,-140.625,7.324
1584599658.407,55.664,29.785,32.715,105.957,27.832
1584599658.411,75.195,35.645,31.250,227.539,43.457
1584599658.415,29.297,25.391,25.879,10.742,56.641
1584599658.419,-1.953,19.531,29.297,-161.133,17.578
1584599658.423,41.504,30.273,33.691,33.691,88.379
1584599658.427,81.055,35.156,32.227,235.840,93.262
1584599658.431,53.711,24.902,26.855,87.402,53.711
1584599658.435,2.441,17.578,25.391,-154.785,76.172
1584599658.438,29.785,28.809,30.762,-46.387,49.316
1584599658.442,85.449,40.527,34.180,215.332,55.664
1584599658.446,57.617,32.227,30.273,160.645,58.594
1584599658.450,-5.371,20.020,26.367,-113.281,37.598
1584599658.454,3.906,24.414,24.414,-120.605,24.902
1584599658.458,65.918,37.598,25.879,158.691,85.938
1584599658.462,60.059,32.715,24.902,209.473,49.805
1584599658.466,2.441,20.020,18.555,-52.246,-6.348
1584599658.470,-2.441,20.996,17.090,-162.598,-7.812
1584599658.474,48.340,30.273,22.949,81.055,-15.137
1584599658.477,57.129,32.227,27.832,229.004,12.207
1584599658.481,5.371,24.414,23.926,21.973,56.152
1584599658.485,-23.438,21.484,20.996,-173.340,71.289
1584599658.489,23.438,32.227,27.832,4.883,13.672
1584599658.493,61.035,34.180,33.203,227.051,3.906
1584599658.497,34.180,22.949,27.344,97.656,53.711
1584599658.501,-7.324,19.531,22.461,-156.250,34.668
1584599658.505,15.625,29.297,26.855,-68.359,40.039
1584599658.509,64.941,35.645,33.691,203.125,23.438
1584599658.513,52.734,32.715,35.645,171.875,-16.113
1584599658.517,-2.930,23.926,27.832,-98.145,31.738
1584599658.520,-3.906,27.344,23.438,-127.441,91.797
1584599658.524,55.664,37.598,26.855,139.160,78.125
1584599658.528,71.777,32.715,31.250,212.891,62.012
1584599658.532,19.531,21.973,29.785,-34.180,23.926
1584599658.536,-2.441,22.461,29.297,-163.086,-20.020
1584599658.540,54.688,31.250,33.691,61.523,-16.602
1584599658.544,86.914,37.598,39.062,229.492,20.996
1584599658.548,38.086,30.273,33.691,49.805,24.902
1584599658.552,-0.977,23.438,28.320,-161.621,-41.504
1584599658.556,35.156,32.715,34.668,-7.324,-7.812
1584599658.560,68.359,40.527,40.527,229.980,39.551
1584599658.563,35.156,31.250,36.621,126.465,55.176
1584599658.567,-12.695,16.602,30.762,-137.695,22.949
1584599658.571,16.113,22.949,36.621,-86.426,-15.137
1584599658.575,75.195,35.156,42.480,183.594,37.598
1584599658.579,57.617,28.320,35.645,174.805,81.055
1584599658.583,-5.859,14.648,28.809,-93.750,22.949
1584599658.587,-5.859,18.555,32.227,-151.367,-14.160
1584599658.591,52.246,34.180,36.621,108.887,8.301
1584599658.595,67.383,34.668,31.250,216.797,46.875
1584599658.599,14.160,20.508,24.902,-14.648,12.695
1584599658.602,-20.020,17.090,25.391,-172.363,5.859
1584599658.606,21.973,28.320,31.250,41.992,26.367
1584599658.610,62.988,32.227,33.203,226.074,6.836
1584599658.614,32.715,26.855,31.250,57.617,27.832
1584599658.618,-9.277,16.113,27.832,-170.410,47.852
1584599658.622,19.043,23.438,27.832,-43.457,43.945
1584599658.626,61.035,35.645,32.227,211.914,57.617
1584599658.630,37.598,25.879,29.785,134.766,58.105
1584599658.634,-8.301,15.625,20.508,-138.672,15.137
1584599658.638,7.812,20.996,23.438,-112.305,60.059
1584599658.642,58.594,30.273,31.250,169.434,60.059
1584599658.645,48.828,25.391,26.855,187.500,1.953
1584599658.649,4.883,17.578,20.996,-79.102,1.465
1584599658.653,5.371,19.531,21.484,-154.785,-63.477
1584599658.657,53.711,30.273,26.855,102.051,-9.277
1584599658.661,65.430,33.203,31.250,222.656,38.574
1584599658.665,11.230,19.531,29.785,1.953,6.836
1584599658.669,-15.625,14.160,28.320,-168.945,30.273
1584599658.673,29.297,25.879,31.738,21.484,49.316
1584599658.677,63.477,30.762,34.180,220.215,37.598
1584599658.681,35.645,23.926,30.273,77.637,33.691
1584599658.685,-14.648,13.672,26.367,-160.156,20.508
1584599658.688,11.230,20.020,31.250,-61.035,-11.719
1584599658.692,58.594,29.785,38.574,194.336,9.277
1584599658.696,40.039,27.832,31.250,140.625,58.105
1584599658.700,-8.301,17.090,20.508,-127.441,93.750
1584599658.704,-2.930,14.160,24.414,-125.488,94.727
1584599658.708,54.199,26.855,35.156,148.438,93.262
1584599658.712,49.316,27.832,36.133,200.195,34.180
1584599658.716,-8.789,13.672,27.832,-60.059,9.766
1584599658.720,-14.160,11.719,28.320,-169.922,52.734
1584599658.724,46.387,25.879,35.156,76.660,-5.859
1584599658.727,67.871,29.297,35.156,225.586,3.418
1584599658.731,17.090,20.020,30.762,23.926,25.879
1584599658.735,-11.230,16.113,30.273,-176.758,25.879
1584599658.739,44.922,27.832,29.297,-9.277,38.574
1584599658.743,74.707,34.668,27.344,223.145,-4.883
1584599658.747,32.227,22.949,24.902,108.398,50.781
1584599658.751,-8.789,11.230,21.484,-150.879,50.781
1584599658.755,4.395,18.066,25.879,-75.684,-2.930
1584599658.759,52.246,27.344,29.297,195.801,48.828
1584599658.763,44.922,22.949,23.926,169.922,68.359
1584599658.767,-8.301,17.090,21.484,-102.051,28.809
1584599658.770,2.930,21.973,24.902,-129.395,34.668
1584599658.774,59.082,28.809,30.273,142.578,44.434
1584599658.778,62.012,25.391,29.785,215.332,-8.301
1584599658.782,9.766,18.555,22.461,-37.598,-19.531
1584599658.786,-3.906,20.996,23.438,-168.457,-16.602
1584599658.790,46.387,31.250,29.785,62.012,3.906
1584599658.794,73.730,33.203,26.367,225.098,25.879
1584599658.798,31.738,24.414,21.973,41.016,19.043
1584599658.802,-2.930,18.555,22.949,-172.363,0.488
1584599658.806,43.457,27.832,24.902,-26.367,16.602
1584599658.810,84.473,34.180,26.855,214.355,55.176
1584599658.813,47.852,24.902,24.902,116.699,47.363
1584599658.817,-5.371,16.113,20.020,-141.113,5.371
1584599658.821,9.277,24.902,24.414,-87.891,-37.109
1584599658.825,55.664,36.621,32.227,178.223,-21.973
1584599658.829,51.270,35.645,30.762,179.199,-1.953
1584599658.833,-0.977,23.926,23.438,-86.426,12.207
1584599658.837,-11.230,19.531,20.996,-148.926,18.555
1584599658.841,39.062,31.250,27.832,112.793,41.504
1584599658.845,62.012,32.715,30.762,217.773,48.340
1584599658.849,18.555,21.973,25.391,-15.137,30.273
1584599658.852,-12.695,18.555,27.344,-176.758,28.809
1584599658.856,34.668,28.320,37.109,31.250,-4.883
1584599658.860,67.383,31.250,35.645,224.121,25.391
1584599658.864,28.809,24.414,26.855,58.594,42.480
1584599658.868,-4.395,20.020,25.391,-177.734,2.930
1584599658.872,25.391,29.785,33.203,-53.711,-4.395
1584599658.876,67.871,42.480,35.156,203.613,27.832
1584599658.880,44.434,31.738,30.273,134.766,8.301
