timestamps,TP9,AF7,AF8,TP10,Right AUX
1584600825.048,38.086,27.344,29.785,45.410,-5.371
1584600825.052,56.152,28.809,35.156,152.832,55.176
1584600825.056,23.926,25.879,29.785,36.621,40.039
1584600825.060,-10.254,23.438,22.461,-94.727,42.480
1584600825.063,15.625,29.785,23.926,-5.371,42.480
1584600825.067,45.410,33.691,26.367,126.465,10.742
1584600825.071,33.203,26.855,27.344,68.848,21.484
1584600825.075,4.395,21.484,27.344,-75.195,57.617
1584600825.079,13.184,21.973,28.320,-48.828,21.973
1584600825.083,42.969,25.391,32.715,99.609,39.062
1584600825.087,39.062,24.414,32.227,107.422,8.301
1584600825.091,8.301,18.555,26.367,-40.527,-13.184
1584600825.095,-2.930,19.531,28.320,-79.102,59.082
1584600825.099,26.367,28.809,31.738,72.266,93.262
1584600825.102,41.504,30.273,31.250,132.324,43.457
1584600825.106,15.137,24.414,26.367,-5.371,0.000
1584600825.110,0.977,26.855,21.484,-93.750,21.973
1584600825.114,29.297,32.227,22.949,26.367,46.875
1584600825.118,50.781,30.273,26.367,137.207,31.250
1584600825.122,26.855,25.879,24.902,47.852,2.441
1584600825.126,-0.977,23.438,22.461,-85.449,31.250
1584600825.130,15.137,26.367,26.855,-16.113,50.293
1584600825.134,46.875,30.762,27.344,127.441,44.434
1584600825.138,45.410,29.297,22.949,86.914,20.508
1584600825.142,14.160,22.949,20.020,-63.477,66.895
1584600825.145,18.066,25.391,21.484,-51.758,77.148
1584600825.149,50.293,34.180,25.391,103.516,27.832
1584600825.153,46.875,35.156,25.879,122.559,55.176
1584600825.157,20.508,30.762,24.902,-23.438,43.457
1584600825.161,18.555,29.297,22.461,-73.730,32.715
1584600825.165,51.758,34.180,26.855,65.918,30.273
1584600825.169,63.477,32.227,28.320,139.648,32.227
1584600825.173,32.715,25.391,24.414,15.137,71.289
1584600825.177,12.695,26.367,26.367,-83.984,100.098
1584600825.181,38.574,32.227,28.809,18.555,76.660
1584600825.185,68.848,34.180,26.367,134.766,16.113
1584600825.188,50.293,29.297,21.484,67.383,34.668
1584600825.192,10.254,22.949,25.391,-67.383,41.992
1584600825.196,12.207,21.973,31.250,-24.902,28.320
1584600825.200,41.992,24.414,33.691,118.652,36.621
1584600825.204,34.180,22.461,32.227,94.238,20.996
1584600825.208,-1.465,18.066,27.832,-61.523,0.488
1584600825.212,2.441,19.043,25.879,-70.801,39.062
1584600825.216,35.645,20.508,29.785,74.707,40.527
1584600825.220,40.039,23.438,32.227,104.980,-20.508
1584600825.224,12.207,21.973,29.297,-25.391,-33.203
1584600825.227,-4.883,18.555,29.297,-85.938,-26.855
1584600825.231,20.020,21.484,33.203,43.457,28.320
1584600825.235,39.551,24.414,32.227,129.883,67.871
1584600825.239,20.996,20.996,27.344,23.438,15.137
1584600825.243,-0.488,17.090,29.785,-86.426,24.414
1584600825.247,22.461,20.996,34.668,-1.465,33.691
1584600825.251,46.387,24.902,33.203,123.047,30.762
1584600825.255,28.320,20.996,30.762,68.359,91.309
1584600825.259,-1.465,15.625,27.344,-71.777,45.898
1584600825.263,6.836,19.531,28.320,-47.852,8.789
1584600825.267,41.504,27.344,31.738,96.680,21.484
1584600825.270,37.598,25.879,28.320,99.121,-24.414
1584600825.274,6.348,22.461,25.391,-37.109,17.578
1584600825.278,0.000,26.367,31.738,-61.035,40.039
1584600825.282,33.691,32.227,33.691,79.102,36.133
1584600825.286,47.363,27.344,28.320,127.930,38.086
1584600825.290,22.461,22.949,26.367,3.906,15.625
1584600825.294,5.859,22.949,26.367,-71.777,69.824
1584600825.298,29.297,24.902,31.250,41.504,111.816
1584600825.302,47.852,28.809,33.691,144.531,44.434
1584600825.306,26.855,24.902,29.297,51.270,61.523
1584600825.310,6.836,22.949,29.785,-76.172,92.773
1584600825.313,23.438,28.320,32.227,-0.488,59.082
1584600825.317,46.387,27.832,30.273,134.766,41.016
1584600825.321,35.645,25.391,25.391,89.355,-0.977
1584600825.325,11.719,23.438,21.484,-48.340,-25.879
1584600825.329,23.438,25.879,25.391,-29.297,3.418
1584600825.333,55.176,28.809,29.785,109.375,-15.625
1584600825.337,51.758,26.367,26.367,112.305,-52.734
1584600825.341,18.555,20.020,22.949,-25.391,1.465
1584600825.345,12.207,21.973,26.367,-61.523,62.988
1584600825.349,43.457,29.785,30.762,73.242,3.906
1584600825.352,54.199,31.250,30.762,127.930,-40.527
1584600825.356,28.809,27.344,29.297,5.371,-11.230
1584600825.360,11.719,24.902,29.297,-76.172,6.348
1584600825.364,29.297,26.855,31.250,37.598,7.812
1584600825.368,48.828,27.832,33.691,131.836,9.766
1584600825.372,30.762,20.996,30.762,45.410,14.648
1584600825.376,3.418,15.137,24.414,-76.172,-12.695
1584600825.380,19.043,19.043,26.855,-16.602,2.441
1584600825.384,48.828,22.949,30.762,116.211,36.621
1584600825.388,34.668,21.484,25.879,80.566,3.418
1584600825.392,0.977,16.113,24.414,-61.523,11.719
